PVR
1826.75
1833.9
1772.55
1792
1800.45
1776.65
1793.3
1799.4
1818.75
1821.3
1840.9
1827.55
1801.8
1772
1799.8
1782.6
1766.45
1790.3
1799.25
1777
1781.5
1740.65
1763.25
1753.8
1758.35
1759.5
1777
1735
1750.05
1739.5
